token	freq
في	3743
من	2347
على	1215
استشراق	1122
إلى	951
أن	903
ما	737
عن	701
إسلام	673
تي	550
ال	520
لا	490
هذا	470
أو	439
عربية	432
إسلامية	428
له	425
مستشرقين	406
شرق	405
إسلامي	397
ذلك	390
لم	389
كان	383
دراسات	383
ها	367
ذي	363
هذه	326
مد	295
اب	285
وقد	283
يد	277
بين	277
كل	276
يه	275
هو	267
مع	249
مسلمين	248
ين	242
ذا	240
غرب	236
قرآن	234
ان	231
قرن	229
اسة	228
عام	228
كما	225
ون	218
رة	217
قد	216
هم	213
مة	211
عدد	210
ار	202
ير	201
بحث	201
مستشرقون	201
ول	201
استشراقية	200
وفي	198
كن	197
لغة	194
نت	194
عالم	193
ومن	189
كتب	182
بي	182
مستشرق	181
غربية	181
شرقية	178
بعض	176
بعد	174
عشر	173
لك	173
به	169
لة	167
اء	163
حتى	162
ريخ	159
علم	155
دين	151
حول	148
يل	148
لى	148
ور	147
إن	147
تاريخ	143
فقد	143
اد	143
وم	141
عبد	139
نه	137
غربي	133
كة	132
اية	132
حيث	131
تلك	130
فيه	130
بن	130
وهو	129
بل	129
ية	129
ود	128
آخر	128
شر	128
ولا	127
سنة	127
ثم	126
بها	126
غير	124
لها	124
عربي	122
حديث	122
أول	119
قبل	118
علمية	117
يس	117
فإن	115
اسات	115
الات	113
أنه	112
ني	111
مثل	111
تم	110
يق	110
ام	108
نشر	107
معة	106
إلا	106
عند	105
رى	104
وما	104
دي	102
الم	102
راسة	101
دكتور	100
ألوكة	100
يها	99
يدة	98
لد	98
رت	97
قع	97
ذه	96
ات	96
مية	96
ثر	95
دار	93
نا	91
فقه	91
يع	90
أي	89
وارد	89
هي	88
نهم	88
علمي	88
كريم	88
شمس	88
عرب	87
فكر	86
دم	86
رئيسية	86
الة	86
ذين	84
قال	84
بأن	83
منذ	83
سه	83
ري	83
ائل	83
روبا	82
عد	82
حضارة	82
اق	81
قول	81
ضا	81
لهم	80
لغات	80
وقت	80
يوم	80
استشراقي	80
الش	79
ارة	78
ثقافة	78
ثاني	78
صلى	78
أولى	77
لاء	77
مل	77
جمة	76
مصر	76
مما	76
وأن	76
رض	75
استعمار	75
ظر	75
كر	75
باحثين	74
تراث	74
علماء	74
لمسلمين	73
مزيد	73
